Entry,Parameter,value
1,vmfilt,1.0853950142274769
1,qpr_fr,0.003458871419593141
1,ppr_fr,-0.4626954624740825
1,qconv,0.0016415192016955476
1,iconv,0.4263041423565347
1,pgrid,-0.46087762394812415
1,qtf_to,0.008321951949505505
1,phi,1.57079633750286
1,vaconv,-0.042015559196715686
1,pconv,-0.4645128146919801
1,ptf_to,0.4626954624740825
1,vmconv,1.0896345331235204
1,vafilt,-0.045957064995429994
1,pdc,0.4763224439015546
1,qgrid,-0.006504113423547189
2,vmfilt,1.0495661165719763
2,qpr_fr,-0.21438785402000277
2,ppr_fr,0.8801994736052016
2,qconv,-0.2218381212309038
2,iconv,0.8631493040545146
2,pgrid,0.8876937199759227
2,qtf_to,0.22540374435056257
2,phi,1.57079633750286
2,vaconv,-0.1511988250222433
2,pconv,0.8727492063943005
2,ptf_to,-0.8801994736052016
2,vmconv,1.0432745592644792
2,vafilt,-0.14120229602111534
2,pdc,-0.8598360214058582
2,qgrid,-0.21790949797984138
3,vmfilt,1.0697799733155788
3,qpr_fr,-0.03992861875426705
3,ppr_fr,-0.3627302950699336
3,qconv,-0.04109223431536678
3,iconv,0.341118097011993
3,pgrid,-0.3615575493558946
3,qtf_to,0.05137291066733785
3,phi,1.57079633750286
3,vaconv,-0.08554838001012721
3,pconv,-0.3638939106310333
3,ptf_to,0.3627302950699336
3,vmconv,1.07354815536835
3,vafilt,-0.08835911797444797
3,pdc,0.3755242728443494
3,qgrid,-0.050200164953298876
